area,county,city_or_town,Latitude,Longitude,geopoint,population,median_household_income,income_per_capita
Alameda,Alameda,City,37.734379,-122.23952,"37.734379,-122.23952",77624,104756,52448
Alameda,Alameda,City,37.769528,-122.25937,"37.769528,-122.25937",77624,104756,52448
Albany,Alameda,City,37.889125,-122.29371,"37.889125,-122.29371",19696,95400,50089
American Canyon,Napa,City,38.170372,-122.25605,"38.170372,-122.25605",20475,101792,36148
Antioch,Contra Costa,City,37.920852,-121.723919,"37.920852,-121.723919",111502,76601,29591
Antioch,Contra Costa,City,37.991571,-121.80207,"37.991571,-121.80207",111502,76601,29591
Atherton,San Mateo,Town,37.458615,-122.20009,"37.458615,-122.20009",7137,250000,165947
Belmont,San Mateo,City,37.381144,-122.334825,"37.381144,-122.334825",26941,156052,77301
Belmont,San Mateo,City,37.516687,-122.29026,"37.516687,-122.29026",26941,156052,77301
Belvedere,Marin,City,37.8727,-122.4644,"37.8727,-122.4644",2156,250001,166281
Benicia,Solano,City,38.071769,-122.15517,"38.071769,-122.15517",28240,103413,52072
Berkeley,Alameda,City,37.862526,-122.27582,"37.862526,-122.27582",121363,85530,50619
Berkeley,Alameda,City,37.856926,-122.25084,"37.856926,-122.25084",121363,85530,50619
Berkeley,Alameda,City,37.894625,-122.26372,"37.894625,-122.26372",121363,85530,50619
Berkeley,Alameda,City,37.869976,-122.2981,"37.869976,-122.2981",121363,85530,50619
Berkeley,Alameda,City,37.879625,-122.2668,"37.879625,-122.2668",121363,85530,50619
Berkeley,Alameda,City,37.894625,-122.27917,"37.894625,-122.27917",121363,85530,50619
Berkeley,Alameda,City,37.860576,-122.29673,"37.860576,-122.29673",121363,85530,50619
Berkeley,Alameda,City,37.868575,-122.25855,"37.868575,-122.25855",121363,85530,50619
Berkeley,Alameda,City,37.865026,-122.2859,"37.865026,-122.2859",121363,85530,50619
Berkeley,Alameda,City,37.680181,-121.921498,"37.680181,-121.921498",121363,85530,50619
Berkeley,Alameda,City,37.866825,-122.253582,"37.866825,-122.253582",121363,85530,50619
Brentwood,Contra Costa,City,37.932123,-121.70381,"37.932123,-121.70381",64474,108994,42124
Brisbane,San Mateo,City,37.682882,-122.40422,"37.682882,-122.40422",4642,119833,57652
Burlingame,San Mateo,City,37.381144,-122.334825,"37.381144,-122.334825",30889,128447,73968
Burlingame,San Mateo,City,37.574936,-122.36332,"37.574936,-122.36332",30889,128447,73968
Calistoga,Napa,City,38.597907,-122.60952,"38.597907,-122.60952",5247,67119,48232
Campbell,Santa Clara,City,37.189396,-121.705327,"37.189396,-121.705327",41793,124525,61559
Campbell,Santa Clara,City,37.278843,-121.95446,"37.278843,-121.95446",41793,124525,61559
Clayton,Contra Costa,City,37.923523,-121.91172,"37.923523,-121.91172",12265,157768,67695
Cloverdale,Sonoma,City,38.795668,-122.997,"38.795668,-122.997",8656,71378,33604
Colma,San Mateo,Town,37.6749,-122.4562,"37.6749,-122.4562",1410,104531,39871
Concord,Contra Costa,City,37.777208,-121.955399,"37.777208,-121.955399",129295,89564,39877
Concord,Contra Costa,City,37.957772,-121.97709,"37.957772,-121.97709",129295,89564,39877
Concord,Contra Costa,City,37.954122,-122.02506,"37.954122,-122.02506",129295,89564,39877
Concord,Contra Costa,City,37.984271,-122.01437,"37.984271,-122.01437",129295,89564,39877
Concord,Contra Costa,City,37.953542,-121.957778,"37.953542,-121.957778",129295,89564,39877
Concord,Contra Costa,City,37.986321,-122.03988,"37.986321,-122.03988",129295,89564,39877
Corte Madera,Marin,Town,38.068036,-122.740988,"38.068036,-122.740988",9751,149439,77635
Corte Madera,Marin,Town,37.924242,-122.516,"37.924242,-122.516",9751,149439,77635
Cotati,Sonoma,City,38.328614,-122.71044,"38.328614,-122.71044",7410,82182,37481
Cotati,Sonoma,City,38.463088,-122.989975,"38.463088,-122.989975",7410,82182,37481
Cupertino,Santa Clara,City,37.189396,-121.705327,"37.189396,-121.705327",59276,171917,72507
Cupertino,Santa Clara,City,37.317909,-122.04779,"37.317909,-122.04779",59276,171917,72507
Daly City,San Mateo,City,37.381144,-122.334825,"37.381144,-122.334825",106280,94550,36654
