area,county,city_or_town,lat_area,long_area,population,median_household_income,income_per_capita,name,address,lat_venue,long_venue,categories,price_level,rating,user_ratings_total
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Chuck Corica Golf Complex,1 Clubhouse Memorial Rd,37.73888460860813,-122.23432624419452,Golf Course,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Shoreline Park,"Alameda, CA",37.74257989594579,-122.25012589505714,Park,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Angel Fish Japanese Cuisine,883 C-2 Island Dr,37.73747825095992,-122.24010708761239,Japanese Restaurant,2.0,4.3,112.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,La Penca Azul,891 Island Dr Ste B (at Mecartney Rd),37.7376665998107,-122.24076668320855,Mexican Restaurant,2.0,4.3,2263.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,La Val's Pizza,891 Island Dr,37.73761018193601,-122.24100095026311,Italian Restaurant,2.0,4.4,190.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Harbor Bay Club,200 Packet Landing Rd,37.74744859862421,-122.23944605650186,Gym,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,San Francisco Bay Trail,Adelphian Way,37.73767861806334,-122.25113845796363,Trail,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Trader Joe's,2217 South Shore Center (at Park St),37.757752331297176,-122.2513952034944,Grocery Store,2.0,4.6,1038.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,South Shore Beach,2269-2279 Shore Line Dr.,37.75460163348428,-122.25130024979092,Beach,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Trabocco Kitchen and Cocktails,2213 South Shore Ctr,37.75713787134351,-122.25175007078096,Italian Restaurant,2.0,4.6,852.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Coffee and Tea Traders,883 Island Dr,37.7374934761113,-122.24026532499082,Coffee Shop,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Julie's Coffee & Tea Shop,1223 Park St (San Antonio),37.76163172964298,-122.24514096622651,Café,2.0,4.6,393.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,European Wax Center,2224 S Shore Ctr,37.75693280100284,-122.25133489911198,Health & Beauty Service,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Tucker's Ice Cream,1349 Park St (at Central Ave),37.763843429596356,-122.24329684639895,Ice Cream Shop,1.0,4.7,781.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Sidestreet Pho,2304 Encinal Ave (at Oak St),37.76286736692297,-122.24512760499984,Vietnamese Restaurant,1.0,4.5,397.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Daiso Japan,2212 S Shore Ctr Ste R,37.757488222502666,-122.2524384581594,Discount Store,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,South Shore Center,523 S Shore Ctr W (at Park St),37.75750716825798,-122.25089033498438,Shopping Mall,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,The Star,1400 Park St (at Central Ave),37.76419977433267,-122.24271068207528,Pizza Place,2.0,4.4,637.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Burma Superstar,1345 Park St (Alameda Ave),37.76365207464914,-122.24341058434636,Burmese Restaurant,2.0,4.6,927.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Encinal Market,3211 Encinal Ave,37.75629296574345,-122.23365632997877,Grocery Store,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Alameda Theatre & Cineplex,2317 Central Ave (btwn Oak & Park),37.76467987454134,-122.24394586691447,Multiplex,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Ulta Beauty,2245 S Shore Ctr (Alameda South Shore Center),37.7569835,-122.2498434,Cosmetics Shop,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Scolari's Good Eats,1303 Park St (at Encinal Ave),37.76271351016542,-122.24425000350969,American Restaurant,2.0,4.6,543.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Troy,2318A Central Ave,37.764388254681705,-122.24336512944782,Middle Eastern Restaurant,1.0,4.5,198.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Martin Luther King Jr. Regional Shoreline,Pardee Dr. (at Hegenberger),37.74255532731276,-122.21044506044841,Harbor / Marina,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,CRAFT Beer & Wine,2526 Santa Clara Ave Apt A (btwn Everett St & Broadway),37.76388666349873,-122.23915625663363,Wine Shop,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Chipotle Mexican Grill,2314 S Shore Ctr (at Park St),37.7561207,-122.2501137,Mexican Restaurant,1.0,4.2,273.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Robert W. Crown Memorial State Beach,Robert W. Crown Memorial State Beach,37.7591884283176,-122.26424396038055,State / Provincial Park,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Feel Good Bakery,1650 Park St (btwn Haight & Santa Clara Ave),37.767750699381665,-122.23950204783034,Bakery,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,American Oak,2319 Santa Clara Ave,37.76573894443934,-122.24242648213696,Bar,2.0,4.5,488.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,National Car Rental,7600 Earhart Rd,37.73716131157257,-122.21500933170319,Rental Car Location,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Martin Luther King Shoreline,"Oakland, CA 94621",37.750223136413595,-122.21112850943675,Scenic Lookout,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Feel Good Kitchen,3215 Encinal Ave,37.75622819247969,-122.23364814597196,Bakery,2.0,4.3,59.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Books Inc,1344 Park St,37.763685742162494,-122.24321254490583,Bookstore,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Speisekammer,2424 Lincoln Ave (at Park St),37.765958,-122.240173,German Restaurant,2.0,4.6,1467.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,High Scores Arcade,1414 Park St (at Santa Clara Ave),37.7646448907098,-122.24238063502902,Arcade,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Encinal Nursery,2057 Encinal Ave,37.765952173458956,-122.25151172347323,Garden Center,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,In-N-Out Burger,8300 Oakport St (at Hegenberger Rd.),37.74030411687768,-122.19835780149388,Fast Food Restaurant,1.0,4.6,2484.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,Cholita Linda,1337 Park St (Alameda Ave),37.76353653082272,-122.24353982187077,Mexican Restaurant,0.0,0.0,0.0
Alameda,Alameda,City,37.734379,-122.23952,77624,104756,52448,JSX (JetsuiteX),9351 Earhart Rd,37.72691611028581,-122.20534381847087,Airport Service,0.0,0.0,0.0
